date,open,high,low,close,volume,amount
2025-03-27,522.16,523.13,521.03,522.16,47426176,24763840209
2025-03-28,522.60,523.99,521.79,522.66,45860943,23969609388
2025-03-31,523.09,524.42,522.09,523.22,44087894,23067531516
2025-04-01,523.59,524.68,522.45,523.79,42853204,22445872728
2025-04-02,524.06,525.63,523.18,524.32,44720549,23447937433
2025-04-03,524.46,526.05,523.51,524.79,46452566,24377928041
2025-04-04,524.79,525.99,523.64,525.18,47942097,25177995225
2025-04-07,525.02,526.73,524.09,525.46,49097057,25798698073
2025-04-08,525.18,526.96,524.28,525.66,49846165,26202262162
2025-04-09,525.28,526.66,524.13,525.79,50143373,26364986558
2025-04-10,525.35,527.11,524.37,525.88,49970732,26278631740
2025-04-11,525.43,527.29,524.59,525.96,49339504,25950715983
2025-04-14,525.55,527.01,524.42,526.07,48289463,25403768603
2025-04-15,525.75,527.42,524.72,526.24,46886425,24673665192
2025-04-16,526.04,527.84,525.26,526.50,45218153,23807218597
2025-04-17,526.44,527.86,525.32,526.84,43388900,22859223693
2025-04-18,526.93,528.40,525.86,527.28,43779071,23084041816
2025-04-21,527.51,529.15,526.80,527.80,45601594,24068520175
2025-04-22,528.14,529.44,527.06,528.36,47240881,24960231573
2025-04-23,528.78,529.97,527.68,528.93,48595537,25703549271
2025-04-24,529.38,530.80,528.63,529.46,49581866,26251471718
2025-04-25,529.89,531.05,528.84,529.90,50139069,26568799773
2025-04-28,530.27,531.24,529.10,530.22,50233033,26634682603
2025-04-29,530.48,531.81,529.57,530.39,49858442,26444268053
2025-04-30,530.51,531.71,529.37,530.38,49039116,26009279573
2025-05-01,530.35,531.25,529.05,530.20,47826525,25357394327
2025-05-02,530.02,531.33,528.98,529.85,46296590,24530444362
2025-05-05,529.56,530.81,528.43,529.39,44544965,23581577540
2025-05-06,529.00,529.82,527.69,528.84,42814915,22642399586
2025-05-07,528.40,529.67,527.35,528.28,44691636,23609579564
2025-05-08,527.83,529.12,526.85,527.75,46448039,24512948036
2025-05-09,527.35,528.21,526.17,527.32,47975448,25298450705
2025-05-12,527.01,528.27,526.03,527.04,49179426,25919632348
2025-05-13,526.86,528.28,526.02,526.95,49985642,26340130575
2025-05-14,526.92,528.01,525.78,527.08,50344500,26535552348
2025-05-15,527.19,528.60,526.16,527.42,50234214,26494709031
2025-05-16,527.67,529.31,526.89,527.97,49662172,26220230471
2025-05-19,528.33,529.70,527.21,528.69,48664468,25728527992
2025-05-20,529.12,530.65,528.05,529.54,47303662,25049091486
2025-05-21,529.99,531.80,529.27,530.45,45664893,24223072642
