date,open,high,low,close,volume,amount
2025-04-04,594.79,595.99,593.64,595.18,62607674,37262528163
2025-04-07,595.02,596.73,594.09,595.46,64117491,38179608184
2025-04-08,595.18,596.96,594.28,595.66,65095835,38775151019
2025-04-09,595.28,596.66,594.13,595.79,65482406,39013896485
2025-04-10,595.35,597.11,594.37,595.88,65253697,38883403259
2025-04-11,595.43,597.29,594.59,595.96,64424457,38394543625
2025-04-14,595.55,597.01,594.42,596.07,63046773,37580460758
2025-04-15,595.75,597.42,594.72,596.24,61206831,36494160516
2025-04-16,596.04,597.84,595.26,596.50,59019558,35204984977
2025-04-17,596.44,597.86,595.32,596.84,56621476,33794243111
2025-04-18,596.93,598.40,595.86,597.28,57129784,34122755682
2025-04-21,597.51,599.15,596.80,597.80,59513790,35577342177
2025-04-22,598.14,599.44,597.06,598.36,61657844,36893639336
2025-04-23,598.78,599.97,597.68,598.93,63429168,37989516580
2025-04-24,599.38,600.80,598.63,599.46,64718157,38795759669
2025-04-25,599.89,601.05,598.84,599.90,65445198,39260714088
2025-04-28,600.27,601.24,599.10,600.22,65565614,39353954483
2025-04-29,600.48,601.81,599.57,600.39,65072448,39068649978
2025-04-30,600.51,601.71,599.37,600.38,63996890,38422339581
2025-05-01,600.35,601.25,599.05,600.20,62406342,37455987361
2025-05-02,600.02,601.33,598.98,599.85,60400226,36231331472
2025-05-05,599.56,600.81,598.43,599.39,58103799,34826729799
2025-05-06,599.00,599.82,597.69,598.84,55835627,33436815450
2025-05-07,598.40,599.67,597.35,598.28,58290607,34873950579
2025-05-08,597.83,599.12,596.85,597.75,60588027,36216487209
2025-05-09,597.35,598.21,596.17,597.32,62585575,37383664535
2025-05-12,597.01,598.27,596.03,597.04,64159582,38305977302
2025-05-13,596.86,598.28,596.02,596.95,65212710,38928983624
2025-05-14,596.92,598.01,595.78,597.08,65680012,39216186716
2025-05-15,597.19,598.60,596.16,597.42,65532959,39150935032
2025-05-16,597.67,599.31,596.89,597.97,64781225,38737351104
2025-05-19,598.33,599.70,597.21,598.69,63472077,38000241779
2025-05-20,599.12,600.65,598.05,599.54,61687439,36983970216
2025-05-21,599.99,601.80,599.27,600.45,59538801,35750242752
